id,batch,name,screen_name,profile_url,profile_image,description,location,url,followers_count,following_count,statuses_count,created_at
951493442,1,Alyoscia D'Onofrio,AlyosciaD,https://twitter.com/AlyosciaD,https://pbs.twimg.com/profile_images/444112860117864448/cz_2YyCI_normal.jpeg,"Senior Director, Governance & Rights @theIRC. Work on / write about accountability, aid, basic services, governance, protection, etc. Views my own.",Geneva,http://t.co/zcZHYMCoLC,88,126,76,2012-11-16 11:24:53+00:00
2307037766,1,Open Dev Toolkit,OpenDevToolkit,https://twitter.com/OpenDevToolkit,https://pbs.twimg.com/profile_images/428183664170528768/XCDk1OmB_normal.png,A project of @DevinitOrg @OKFN @SchoolofData aimed at increasing data literacy around development data. Tweets by @zararah.,,http://t.co/eyTU5ldx0m,325,150,118,2014-01-23 18:30:22+00:00
6727802,1,Games for Change,G4C,https://twitter.com/G4C,https://pbs.twimg.com/profile_images/425346549032300544/n3-1Z5OV_normal.png,We facilitate the creation & distribution of social impact games. Join us for the Annual Games for Change Festival (April 22-24 & 26): #G4C14.,"New York, NY",http://t.co/ADWsFpXbkq,15616,3982,8187,2007-06-11 02:49:59+00:00
1260176245,1,GlobalDevLab,GlobalDevLab,https://twitter.com/GlobalDevLab,https://pbs.twimg.com/profile_images/451537180607795200/h7iC1V48_normal.jpeg,The official Twitter feed for @USAID's U.S. Global Development Lab #DevTalk http://t.co/aKyulvGYUg,Washington DC,http://t.co/wnwLDypJ7s,4322,442,1725,2013-03-11 18:55:17+00:00
514033223,1,USAID/OFDA,theOFDA,https://twitter.com/theOFDA,https://pbs.twimg.com/profile_images/459691244705165312/3vGkW2A8_normal.jpeg,USAID's Office of U.S. Foreign Disaster Assistance saves lives on behalf of the American people. http://t.co/wnwLDypJ7s,"Washington, DC",http://t.co/RovhfsmTyA,3863,499,2144,2012-03-04 06:43:58+00:00
1469986159,1,Albert Gembara,AlbertGembara,https://twitter.com/AlbertGembara,https://pbs.twimg.com/profile_images/3732428176/764eb318a813c5a2d717596e87cd82d2_normal.jpeg,Technology Integration Officer - USAID/OFDA - Opinions and Tweets are my own.,"Washington, D.C. ",,48,83,79,2013-05-30 15:11:29+00:00
635258821,1,OCHA Gulf ,ochagulf,https://twitter.com/ochagulf,https://pbs.twimg.com/profile_images/413565312508772353/FnX7eNeE_normal.jpeg,"UNOCHA - Gulf Liaison Office
 مكتب الأمم المتحدة لتنسيق الشؤون الإنسانية",Arab World,http://t.co/5jHTIkAcXM,463,136,460,2012-07-14 09:33:27+00:00
11512342,1,frog design,frogdesign,https://twitter.com/frogdesign,https://pbs.twimg.com/profile_images/459015000372178944/M9Q4LX3U_normal.png,frog is a global product strategy and design firm,Headquartered in San Francisco,http://t.co/Ro7PpUQ7Qh,469460,2674,5180,2007-12-25 20:38:13+00:00
517710986,1,OKFestival,OKFestival,https://twitter.com/OKFestival,https://pbs.twimg.com/profile_images/431090291060125697/h1HvwGp4_normal.png,Join us in Berlin from 15th-17th July to translate Open Minds to Open Action with the global #open community! #OKFest14,"Berlin, Germany",http://t.co/jex664iNwF,2165,2371,1076,2012-03-07 15:52:13+00:00
18998892,1,Harvard Humanitarian,HHI,https://twitter.com/HHI,https://pbs.twimg.com/profile_images/1575880396/HHI_Twitter_Logo_normal.jpg,"Combines expertise in public health, medicine, social science, and humanities to advance research, practice, and policy in the field of humanitarian assistance",Harvard University,http://t.co/lIMcSEXK4O,8724,411,1163,2009-01-14 22:19:27+00:00
